"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2014";2,32;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2015";1,69;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2016";2,25;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2017";1,92;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2018";2,29;"zł";"";
0600000;"LUBELSKIE";"styczeń";"cebula - za 1 kg";"cena";"2019";3,06;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2006";1,10;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2007";1,99;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2008";1,53;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2009";1,33;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2010";1,80;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2011";2,42;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2012";1,38;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2013";1,43;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2014";2,48;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2015";1,68;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2016";2,48;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2017";1,91;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2018";2,24;"zł";"";
0600000;"LUBELSKIE";"luty";"cebula - za 1 kg";"cena";"2019";3,50;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2006";1,18;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2007";2,05;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2008";1,48;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2009";1,31;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2010";2,19;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2011";2,41;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2012";1,42;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2013";1,42;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2014";2,38;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2015";1,59;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2016";2,51;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2017";1,80;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2018";2,07;"zł";"";
0600000;"LUBELSKIE";"marzec";"cebula - za 1 kg";"cena";"2019";3,68;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2006";1,25;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2007";2,29;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2008";1,55;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2009";1,37;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2010";2,39;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2011";2,49;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2012";1,23;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2013";1,54;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2014";2,39;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2015";1,38;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2016";2,49;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2017";1,74;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2018";2,10;"zł";"";
0600000;"LUBELSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2019";4,03;"zł";"";
0600000;"LUBELSKIE";"maj";"cebula - za 1 kg";"cena";"2006";1,33;"zł";"";
0600000;"LUBELSKIE";"maj";"cebula - za 1 kg";"cena";"2007";2,63;"zł";"";
0600000;"LUBELSKIE";"maj";"cebula - za 1 kg";"cena";"2008";1,66;"zł";"";
0600000;"LUBELSKIE";"maj";"cebula - za 1 kg";"cena";"2009";1,44;"zł";"";
0600000;"LUBELSKIE";"maj";"cebula - za 1 kg";"cena";"2010";2,73;"zł";"";
0600000;"LUBELSKIE";"maj";"cebula - za 1 kg";"cena";"2011";2,53;"zł";"";
0600000;"LUBELSKIE";"maj";"cebula - za 1 kg";"cena";"2012";1,18;"zł";"";
0600000;"LUBELSKIE";"maj";"cebula - za 1 kg";"cena";"2013";2,05;"zł";"";
0600000;"LUBELSKIE";"maj";"cebula - za 1 kg";"cena";"2014";2,75;"zł";"";
